State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,No_HH_Head,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,MARGWORK_3_6_P,MARGWORK_3_6_M,MARGWORK_3_6_F,MARG_CL_3_6_P,MARG_CL_3_6_M,MARG_CL_3_6_F,MARG_AL_3_6_P,MARG_AL_3_6_M,MARG_AL_3_6_F,MARG_HH_3_6_P,MARG_HH_3_6_M,MARG_HH_3_6_F,MARG_OT_3_6_P,MARG_OT_3_6_M,MARG_OT_3_6_F,MARGWORK_0_3_P,MARGWORK_0_3_M,MARGWORK_0_3_F,MARG_CL_0_3_P,MARG_CL_0_3_M,MARG_CL_0_3_F,MARG_AL_0_3_P,MARG_AL_0_3_M,MARG_AL_0_3_F,MARG_HH_0_3_P,MARG_HH_0_3_M,MARG_HH_0_3_F,MARG_OT_0_3_P,MARG_OT_0_3_M,MARG_OT_0_3_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,village_name,state_name,district_code,district_name,_source_file
11,242,00000,000000,0000,000000,DISTRICT,West District,Total,1163,5935,3117,2818,826,444,382,3720,2086,1634,2215,1031,1184,2926,1758,1168,2087,1406,681,1042,636,406,304,192,112,84,66,18,657,512,145,839,352,487,339,140,199,238,90,148,28,12,16,234,110,124,561,237,324,200,81,119,170,63,107,19,8,11,172,85,87,278,115,163,139,59,80,68,27,41,9,4,5,62,25,37,3009,1359,1650,000000,Sikkim,1102,West Sikkim,PCA_SC1102_2011_MDDS_DDW.xlsx
11,242,00000,000000,0000,000000,DISTRICT,West District,Rural,1104,5663,2978,2685,795,426,369,3513,1975,1538,2150,1003,1147,2838,1689,1149,2002,1340,662,1040,636,404,304,192,112,81,64,17,577,448,129,836,349,487,339,140,199,237,89,148,27,11,16,233,109,124,558,234,324,200,81,119,169,62,107,18,7,11,171,84,87,278,115,163,139,59,80,68,27,41,9,4,5,62,25,37,2825,1289,1536,000000,Sikkim,1102,West Sikkim,PCA_SC1102_2011_MDDS_DDW.xlsx
11,242,00000,000000,0000,000000,DISTRICT,West District,Urban,59,272,139,133,31,18,13,207,111,96,65,28,37,88,69,19,85,66,19,2,0,2,0,0,0,3,2,1,80,64,16,3,3,0,0,0,0,1,1,0,1,1,0,1,1,0,3,3,0,0,0,0,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,70,114,000000,Sikkim,1102,West Sikkim,PCA_SC1102_2011_MDDS_DDW.xlsx
11,242,01549,000000,0000,000000,SUB-DISTRICT,Gyalshing,Total,659,3391,1789,1602,482,270,212,2109,1177,932,1282,612,670,1781,1049,732,1321,852,469,726,416,310,181,110,71,57,42,15,357,284,73,460,197,263,235,101,134,138,48,90,15,7,8,72,41,31,301,127,174,133,55,78,105,34,71,11,5,6,52,33,19,159,70,89,102,46,56,33,14,19,4,2,2,20,8,12,1610,740,870,000000,Sikkim,1102,West Sikkim,PCA_SC1102_2011_MDDS_DDW.xlsx
11,242,01549,000000,0000,000000,SUB-DISTRICT,Gyalshing,Rural,617,3200,1696,1504,457,255,202,1967,1105,862,1233,591,642,1720,1000,720,1262,805,457,724,416,308,181,110,71,56,41,15,301,238,63,458,195,263,235,101,134,137,47,90,14,6,8,72,41,31,299,125,174,133,55,78,104,33,71,10,4,6,52,33,19,159,70,89,102,46,56,33,14,19,4,2,2,20,8,12,1480,696,784,000000,Sikkim,1102,West Sikkim,PCA_SC1102_2011_MDDS_DDW.xlsx
11,242,01549,000000,0000,000000,SUB-DISTRICT,Gyalshing,Urban,42,191,93,98,25,15,10,142,72,70,49,21,28,61,49,12,59,47,12,2,0,2,0,0,0,1,1,0,56,46,10,2,2,0,0,0,0,1,1,0,1,1,0,0,0,0,2,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,44,86,000000,Sikkim,1102,West Sikkim,PCA_SC1102_2011_MDDS_DDW.xlsx
11,242,01549,801417,0000,000000,TOWN,Gyalshing (NP),Urban,42,191,93,98,25,15,10,142,72,70,49,21,28,61,49,12,59,47,12,2,0,2,0,0,0,1,1,0,56,46,10,2,2,0,0,0,0,1,1,0,1,1,0,0,0,0,2,2,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,44,86,801417,Sikkim,1102,West Sikkim,PCA_SC1102_2011_MDDS_DDW.xlsx
11,242,01550,000000,0000,000000,SUB-DISTRICT,Soreng,Total,504,2544,1328,1216,344,174,170,1611,909,702,933,419,514,1145,709,436,766,554,212,316,220,96,123,82,41,27,24,3,300,228,72,379,155,224,104,39,65,100,42,58,13,5,8,162,69,93,260,110,150,67,26,41,65,29,36,8,3,5,120,52,68,119,45,74,37,13,24,35,13,22,5,2,3,42,17,25,1399,619,780,000000,Sikkim,1102,West Sikkim,PCA_SC1102_2011_MDDS_DDW.xlsx
11,242,01550,000000,0000,000000,SUB-DISTRICT,Soreng,Rural,487,2463,1282,1181,338,171,167,1546,870,676,917,412,505,1118,689,429,740,535,205,316,220,96,123,82,41,25,23,2,276,210,66,378,154,224,104,39,65,100,42,58,13,5,8,161,68,93,259,109,150,67,26,41,65,29,36,8,3,5,119,51,68,119,45,74,37,13,24,35,13,22,5,2,3,42,17,25,1345,593,752,000000,Sikkim,1102,West Sikkim,PCA_SC1102_2011_MDDS_DDW.xlsx
11,242,01550,000000,0000,000000,SUB-DISTRICT,Soreng,Urban,17,81,46,35,6,3,3,65,39,26,16,7,9,27,20,7,26,19,7,0,0,0,0,0,0,2,1,1,24,18,6,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,26,28,000000,Sikkim,1102,West Sikkim,PCA_SC1102_2011_MDDS_DDW.xlsx
